ID,Resolution,WSI,Class,Image_path
47,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_79.jpg
48,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_71.jpg
49,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_33.jpg
50,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_50.jpg
51,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_88.jpg
52,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_54.jpg
53,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_75.jpg
54,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_16.jpg
55,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_60.jpg
56,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_91.jpg
57,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_29.jpg
58,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_53.jpg
59,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_9.jpg
60,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_51.jpg
61,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_38.jpg
62,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_7.jpg
63,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_25.jpg
64,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_23.jpg
65,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_77.jpg
66,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_37.jpg
67,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_64.jpg
68,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_22.jpg
69,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_44.jpg
70,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_10.jpg
71,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_67.jpg
72,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_89.jpg
73,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_90.jpg
74,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_84.jpg
75,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_5.jpg
76,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_62.jpg
77,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_42.jpg
78,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_31.jpg
79,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_49.jpg
80,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_12.jpg
81,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_14.jpg
82,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_17.jpg
83,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_63.jpg
84,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=60843_y=41196_w=6307_h=4232/patch_59.jpg
85,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_30.jpg
86,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_68.jpg
87,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_94.jpg
88,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_103.jpg
89,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_76.jpg
90,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_87.jpg
91,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_21.jpg
92,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_45.jpg
93,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_56.jpg
94,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_85.jpg
95,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_61.jpg
96,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_6.jpg
97,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_35.jpg
98,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_36.jpg
99,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_41.jpg
100,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_105.jpg
101,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_104.jpg
102,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_100.jpg
103,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_4.jpg
104,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_81.jpg
105,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_43.jpg
106,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_83.jpg
107,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_27.jpg
108,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_39.jpg
109,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_52.jpg
110,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_73.jpg
111,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_3.jpg
112,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_32.jpg
113,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_55.jpg
114,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_86.jpg
115,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_106.jpg
116,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_26.jpg
117,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_47.jpg
118,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_8.jpg
119,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_15.jpg
120,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_57.jpg
121,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_58.jpg
122,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_66.jpg
123,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_72.jpg
124,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_19.jpg
125,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_18.jpg
126,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_0.jpg
127,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_34.jpg
128,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_74.jpg
129,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_28.jpg
130,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_48.jpg
131,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_40.jpg
132,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_11.jpg
133,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_65.jpg
134,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_20.jpg
135,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_13.jpg
136,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_24.jpg
137,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_96.jpg
138,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_1.jpg
139,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_46.jpg
140,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_2.jpg
141,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_79.jpg
142,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_71.jpg
143,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_33.jpg
144,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_80.jpg
145,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_50.jpg
146,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_88.jpg
147,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_54.jpg
148,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_75.jpg
149,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_16.jpg
150,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_60.jpg
151,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_91.jpg
152,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_93.jpg
153,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_92.jpg
154,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_98.jpg
155,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_29.jpg
156,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_53.jpg
157,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_97.jpg
158,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_9.jpg
159,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_51.jpg
160,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_70.jpg
161,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_38.jpg
162,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_95.jpg
163,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_7.jpg
164,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_25.jpg
165,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_107.jpg
166,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_23.jpg
167,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_101.jpg
168,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_77.jpg
169,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_37.jpg
170,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_64.jpg
171,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_22.jpg
172,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_44.jpg
173,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_10.jpg
174,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_67.jpg
175,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_89.jpg
176,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_90.jpg
177,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_84.jpg
178,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_5.jpg
179,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_62.jpg
180,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_42.jpg
181,10x,!1_S024_1,ryzh,source_data_patch_use/ryzh/ryzh-10X/!1_S024_1/x=37730_y=43875_w=6305_h=4720/patch_99.jpg
